Id,ParentId,UUID,SomeString,SomeUrl,SomeEmail,SomeLat,SomeLon,SomeInt,SomeReal,SomeDate,SomeBoolean,SomeCountry,MixedStringNumber
1,62,123e4567-e89b-12d3-a456-426655440000,abcdef,http://www.google.com,foo@bar.com,19.56972782,158.6507522,5671,3684.472507,2018-05-31,true,AL,21
2,,123e4567-e89b-12d3-a456-426655440000,,https://www.kaggle.com,test1@test.com,,-4.628925859,,6655.542889,2018-04-19,true,AL,
3,45,123e4567-e89b-12d3-a456-426655440000,,https://www.kaggle.com,foo@bar.com,25.76069708,-178.2982744,,7603.611651,2018-05-10,true,AL,21
4,38,123e4567-e89b-12d3-a456-426655440000,abcdef,https://www.kaggle.com,test1@test.com,10.89631338,-114.7103261,,8137.959125,2018-04-27,true,AL,
5,,123e4567-e89b-12d3-a456-426655440000,abcdef,https://www.kaggle.com,foo@bar.com,-44.32664944,99.71566365,,8521.891842,2018-04-04,true,AL,0.4080873354
6,81,123e4567-e89b-12d3-a456-426655440000,,https://www.kaggle.com,foo@bar.com,0.2144721802,-44.46143358,4536,4463.556093,2018-07-15,false,AL,22
7,44,123e4567-e89b-12d3-a456-426655440000,,https://www.kaggle.com,foo@bar.com,66.89760343,71.62253977,2420,3044.395287,2018-06-19,true,AL,0.5354985568
8,,,,,foo@bar.com,67.71368467,-110.6122851,4097,5679.720957,2018-05-02,true,AL,0.8039496467
9,,,,https://www.kaggle.com,foo@bar.com,25.53926474,,2109,8717.578145,2018-07-05,,AL,29
10,68,123e4567-e89b-12d3-a456-426655440000,,,foo@bar.com,-46.63147255,,657,3576.466146,2018-05-23,false,AL,16
11,,,abcdef,http://www.google.com,test1@test.com,80.7870279,19.79715191,7639,1942.842457,2018-07-02,true,AL,0.7261631249
12,74,123e4567-e89b-12d3-a456-426655440000,abcdef,http://www.google.com,test1@test.com,36.13319799,-111.8474874,9096,200.5453094,2018-06-22,true,AL,0.2942268336
13,,,abcdef,http://www.google.com,test1@test.com,-23.64975078,-151.81528,8802,2585.839572,2018-07-06,true,AL,0.342712034
14,,,,http://www.google.com,test1@test.com,-43.53999366,30.96665486,3836,3474.837094,2018-04-12,false,AL,
15,64,,,http://www.google.com,,76.86788324,69.3183379,9974,,2018-07-17,true,AL,0.6301374716
16,,,abcdef,http://www.google.com,test1@test.com,-84.71582709,172.1144725,2657,4762.995248,2018-03-31,,AL,test-string
17,,123e4567-e89b-12d3-a456-426655440000,abcdef,http://www.google.com,test1@test.com,42.83263581,,7555,3269.022635,2018-06-03,true,AL,8
18,,,abcdef,http://www.google.com,foo@bar.com,-87.14837626,112.6302783,27,3896.911482,2018-05-03,true,AL,0.7033938425
19,,123e4567-e89b-12d3-a456-426655440000,abcdef,http://www.google.com,test1@test.com,69.73474522,88.74224703,1840,9621.575778,2018-05-28,false,AL,0.6950933348
20,31,123e4567-e89b-12d3-a456-426655440000,abcdef,https://www.kaggle.com,foo@bar.com,-23.06858556,26.75883743,3151,,2018-06-13,,AL,20
21,31,,,http://www.google.com,foo@bar.com,-35.49969901,84.95197895,3949,,2018-06-01,true,AL,0.6861265142
22,,123e4567-e89b-12d3-a456-426655440000,,http://www.google.com,test1@test.com,-68.02081037,-161.3732145,8507,7792.811055,2018-05-27,true,AL,18
23,45,,,http://www.google.com,test1@test.com,71.21193167,-133.4852002,7595,1783.318377,2018-06-28,true,AL,0.6997962038
24,85,,abcdef,,test1@test.com,-81.41611521,-44.39769447,6031,,2018-05-12,true,AU,test-string
25,55,,,https://www.kaggle.com,foo@bar.com,-88.58700106,,9720,,2018-04-22,false,AU,0.3931667009
26,,,abcdef,https://www.kaggle.com,test1@test.com,32.77243229,,,4694.558235,2018-04-08,true,AU,
27,77,123e4567-e89b-12d3-a456-426655440000,,https://www.kaggle.com,test1@test.com,-6.133059105,8.435826635,2225,9280.089246,2018-07-14,false,AU,23
28,30,123e4567-e89b-12d3-a456-426655440000,abcdef,http://www.google.com,test1@test.com,41.51480526,-138.6395979,658,,2018-05-26,false,AU,49
29,24,123e4567-e89b-12d3-a456-426655440000,,https://www.kaggle.com,test1@test.com,72.35766333,103.1319531,6831,7133.958281,2018-07-11,false,AU,0.359120608
30,34,123e4567-e89b-12d3-a456-426655440000,,http://www.google.com,foo@bar.com,-74.25425068,-139.892144,2821,5329.211221,2018-07-13,false,AU,15
31,,123e4567-e89b-12d3-a456-426655440000,abcdef,http://www.google.com,foo@bar.com,-50.766584,127.673778,4748,7530.554813,2018-07-12,true,AU,
32,67,,,http://www.google.com,foo@bar.com,-72.00462321,,,7028.522926,2018-05-06,true,AU,test-string
33,48,123e4567-e89b-12d3-a456-426655440000,abcdef,http://www.google.com,foo@bar.com,7.95049702,-176.4377152,7753,9751.262889,2018-05-24,true,AU,0.882792611
34,59,,abcdef,https://www.kaggle.com,test1@test.com,-86.39510745,,,7871.709671,2018-04-03,false,AU,0.9619116489
35,,,abcdef,https://www.kaggle.com,,-20.29147762,-166.6932014,6514,8271.290465,2018-04-28,true,AU,0.8137081325
36,,,,http://www.google.com,test1@test.com,6.594445136,,1483,5058.162031,2018-06-21,true,AU,0.825431611
37,,123e4567-e89b-12d3-a456-426655440000,abcdef,http://www.google.com,,-32.74810805,,8194,6276.635177,2018-07-20,false,AU,
38,58,123e4567-e89b-12d3-a456-426655440000,,,foo@bar.com,-86.33851813,-87.37585477,4098,8656.460197,2018-04-01,true,AU,5
39,64,,abcdef,https://www.kaggle.com,,-72.60326289,43.8131786,9721,7503.026983,2018-03-26,true,AU,
40,,,,https://www.kaggle.com,foo@bar.com,40.55924881,-36.39436632,,6247.01249,2018-06-14,false,AU,0.9033847663
41,,,,http://www.google.com,test1@test.com,,137.5196852,2358,6935.430633,2018-05-04,true,AU,48
42,,,,http://www.google.com,test1@test.com,-0.2286952636,37.31205309,2506,5142.239256,2018-03-22,false,AU,37
43,,,,https://www.kaggle.com,foo@bar.com,86.25417147,-2.595240968,2363,3663.996014,2018-05-01,false,AU,
44,6,,abcdef,http://www.google.com,test1@test.com,-35.18066413,-38.44793614,3487,4780.533849,2018-06-10,true,AU,39
45,,123e4567-e89b-12d3-a456-426655440000,,http://www.google.com,foo@bar.com,-28.44142385,179.8683057,9508,7585.511091,2018-04-09,false,AU,0.7188842405
46,,123e4567-e89b-12d3-a456-426655440000,abcdef,https://www.kaggle.com,foo@bar.com,47.18715036,166.9656906,5444,7395.330473,2018-04-11,false,AU,39
47,,123e4567-e89b-12d3-a456-426655440000,abcdef,,foo@bar.com,-77.58225296,,8817,6744.81689,2018-06-15,false,AU,0.354522633
48,,123e4567-e89b-12d3-a456-426655440000,abcdef,,test1@test.com,34.75285769,-89.43304515,2849,6238.947718,2018-03-27,true,AU,40
49,38,123e4567-e89b-12d3-a456-426655440000,abcdef,,foo@bar.com,-29.6282867,37.51179049,2104,5132.763269,2018-04-30,false,AU,46
50,,,abcdef,,test1@test.com,3.382716377,87.26693983,963,4211.268212,2018-03-28,true,AU,39
51,53,123e4567-e89b-12d3-a456-426655440000,abcdef,http://www.google.com,foo@bar.com,-76.11957629,178.180703,3165,,2018-03-16,false,AU,
52,26,123e4567-e89b-12d3-a456-426655440000,abcdef,https://www.kaggle.com,test1@test.com,59.19018182,-118.7178629,1328,3732.81919,2018-06-05,true,AU,
53,47,123e4567-e89b-12d3-a456-426655440000,,http://www.google.com,test1@test.com,-51.2371172,-111.7132733,9097,5159.944692,2018-06-08,false,AU,0.6087465409
54,64,,abcdef,http://www.google.com,test1@test.com,-30.87642762,59.31307903,5962,885.9378578,2018-07-16,false,AU,0.4807923962
55,34,123e4567-e89b-12d3-a456-426655440000,abcdef,https://www.kaggle.com,,-89.78948659,85.57932145,9732,535.8509553,2018-04-14,true,AU,
56,,,abcdef,https://www.kaggle.com,foo@bar.com,9.225310295,-31.98282119,1588,8446.206006,2018-05-11,false,AU,5
57,,,abcdef,http://www.google.com,foo@bar.com,46.60096095,-75.48792686,3681,4020.861104,2018-05-14,false,AU,test-string
58,1,123e4567-e89b-12d3-a456-426655440000,abcdef,http://www.google.com,foo@bar.com,65.07551798,-5.20075563,9923,8130.592818,2018-03-29,false,AU,0.1293500181
59,86,,abcdef,http://www.google.com,foo@bar.com,82.79267632,,8174,9894.099622,2018-05-08,false,AU,test-string
60,,,,http://www.google.com,foo@bar.com,-54.26640618,-48.32314416,2469,5805.60633,2018-07-03,false,AU,32
61,18,123e4567-e89b-12d3-a456-426655440000,abcdef,https://www.kaggle.com,test1@test.com,-27.00577573,116.6484885,1826,390.2513023,2018-03-25,false,AU,0.2816590644
62,,123e4567-e89b-12d3-a456-426655440000,,http://www.google.com,foo@bar.com,-85.37929474,-115.7279453,5306,9528.899623,2018-05-18,false,AU,test-string
63,35,,,http://www.google.com,foo@bar.com,52.9755756,-77.80933441,337,3158.124176,2018-06-17,true,AU,0.6246403366
64,29,123e4567-e89b-12d3-a456-426655440000,,https://www.kaggle.com,foo@bar.com,,,6635,1953.167641,2018-04-10,false,AU,
65,74,,,http://www.google.com,test1@test.com,-60.78226095,-119.5928538,1440,3157.06123,2018-05-13,false,AU,0.3240239434
66,55,,,http://www.google.com,foo@bar.com,-84.35836143,-106.0575806,5279,5932.593049,2018-05-30,false,AU,0.6669439178
67,,123e4567-e89b-12d3-a456-426655440000,,,test1@test.com,-52.44550427,-134.1922823,7861,3545.867168,2018-07-19,true,AU,10
68,,,,https://www.kaggle.com,test1@test.com,25.30489073,138.0466669,7865,,2018-04-07,true,AU,35
69,,123e4567-e89b-12d3-a456-426655440000,,,test1@test.com,,46.02028855,9363,6777.479594,2018-06-07,false,AU,0.6672178576
70,24,123e4567-e89b-12d3-a456-426655440000,abcdef,https://www.kaggle.com,foo@bar.com,56.31532428,79.20837441,9599,2340.041292,2018-06-29,true,AU,0.5487047418
71,,,abcdef,https://www.kaggle.com,foo@bar.com,0.4320274205,127.6914083,6872,163.1807007,2018-05-16,false,AU,test-string
72,,,,,,24.72669453,168.0480969,9462,,2018-06-18,,AU,10
73,11,123e4567-e89b-12d3-a456-426655440000,,https://www.kaggle.com,test1@test.com,,141.0135582,3188,5517.3753,2018-06-30,,AU,test-string
74,,123e4567-e89b-12d3-a456-426655440000,abcdef,http://www.google.com,foo@bar.com,6.035479836,17.27074666,9178,5258.576223,2018-03-18,false,AU,49
75,25,123e4567-e89b-12d3-a456-426655440000,abcdef,http://www.google.com,foo@bar.com,,-156.6808907,1039,7102.325771,2018-07-21,true,AU,test-string
76,,,,http://www.google.com,foo@bar.com,-12.19681352,-94.674826,4255,,2018-07-24,true,AU,0.7775435111
77,,123e4567-e89b-12d3-a456-426655440000,,http://www.google.com,foo@bar.com,23.94926007,17.67425544,3166,6068.508881,2018-05-22,false,AU,30
78,3,123e4567-e89b-12d3-a456-426655440000,abcdef,http://www.google.com,foo@bar.com,-10.02201302,-61.0367444,1290,2618.891768,2018-06-02,false,AU,11
79,,,,https://www.kaggle.com,foo@bar.com,73.44275703,-73.53136699,9775,6416.028627,2018-06-04,true,AU,5
80,88,,abcdef,http://www.google.com,foo@bar.com,,-19.66359567,5,410.304011,2018-06-20,false,AU,0.09181575652
81,84,123e4567-e89b-12d3-a456-426655440000,,http://www.google.com,test1@test.com,81.19156982,-152.7588701,8451,,2018-04-17,false,AU,0.8469982521
82,,123e4567-e89b-12d3-a456-426655440000,abcdef,https://www.kaggle.com,foo@bar.com,-21.20889194,122.3190434,8136,2412.599752,2018-03-17,false,AU,0.01668533559
83,40,,abcdef,http://www.google.com,foo@bar.com,-67.049825,-109.6645488,4299,8730.559397,2018-03-19,false,AU,18
84,38,,abcdef,https://www.kaggle.com,test1@test.com,-54.56769259,46.34100452,7191,8091.592349,2018-07-01,true,AU,
85,,,,http://www.google.com,test1@test.com,76.6850432,-17.82129271,7622,1102.814821,2018-07-04,false,AU,0.9665558977
86,,,abcdef,http://www.google.com,,31.43166218,92.79710193,3647,552.9235046,2018-06-09,false,AU,28
87,15,,abcdef,http://www.google.com,test1@test.com,-32.61067019,-141.149998,1153,5570.333013,2018-05-25,true,AU,48
88,70,123e4567-e89b-12d3-a456-426655440000,,http://www.google.com,foo@bar.com,3.813989261,-155.706212,,8224.379004,2018-03-23,true,AU,35
89,,,abcdef,http://www.google.com,test1@test.com,43.73894644,107.635066,871,4449.861422,2018-06-26,,AU,10
90,37,,abcdef,http://www.google.com,test1@test.com,-55.41750618,24.57902138,7950,1931.387297,2018-03-21,true,AU,0.5974384848
91,13,,abcdef,http://www.google.com,test1@test.com,-34.50084142,,150,6338.220845,2018-04-06,false,AU,0.3721102335
92,,123e4567-e89b-12d3-a456-426655440000,,http://www.google.com,test1@test.com,-15.8293796,,,664.5060803,2018-03-24,false,AU,6
93,,,,,foo@bar.com,-51.64908981,,9277,6656.294246,2018-07-22,true,AU,
94,19,123e4567-e89b-12d3-a456-426655440000,abcdef,https://www.kaggle.com,foo@bar.com,,-163.6043302,9889,3459.421631,2018-06-12,false,AU,0.1732560464
95,,123e4567-e89b-12d3-a456-426655440000,,https://www.kaggle.com,foo@bar.com,65.1511672,-43.02719609,9594,5486.768409,2018-05-29,true,AU,12
96,,123e4567-e89b-12d3-a456-426655440000,abcdef,http://www.google.com,foo@bar.com,-39.21962402,-129.935284,3179,1777.806276,2018-07-18,false,AU,
97,,123e4567-e89b-12d3-a456-426655440000,abcdef,http://www.google.com,foo@bar.com,-40.25043925,2.955334239,3425,,2018-07-10,false,AU,32
98,,,,https://www.kaggle.com,test1@test.com,19.4477805,-89.85651257,4338,8995.527744,2018-05-17,false,AU,0.3969404174
99,,,abcdef,http://www.google.com,,49.72169568,0.736212031,741,8542.401465,2018-06-24,false,AU,13
100,14,123e4567-e89b-12d3-a456-426655440000,abcdef,,,58.99694728,-159.9099137,2342,565.7026936,2018-04-26,true,AU,0.8890917033
101,59,123e4567-e89b-12d3-a456-426655440000,,http://www.google.com,foo@bar.com,53.33967908,171.1389702,3168,5280.861662,2018-06-06,false,AU,2
102,13,,abcdef,https://www.kaggle.com,,-43.3027911,132.8117223,8876,1647.975567,2018-07-23,true,AU,4
103,94,123e4567-e89b-12d3-a456-426655440000,,,foo@bar.com,54.78442538,36.16357595,2730,9914.802903,2018-04-21,true,AU,0.5227734217
104,,123e4567-e89b-12d3-a456-426655440000,,,foo@bar.com,19.16898882,-10.61932638,,,2018-06-16,false,AU,23
105,16,123e4567-e89b-12d3-a456-426655440000,,http://www.google.com,test1@test.com,,-148.739766,8814,,2018-07-07,,AU,24
106,,123e4567-e89b-12d3-a456-426655440000,abcdef,https://www.kaggle.com,test1@test.com,24.81768336,-46.81986857,1476,7061.610751,2018-04-24,false,AU,0.5080253471
107,,,,http://www.google.com,foo@bar.com,18.8605399,-167.9394428,,5134.752338,2018-05-19,false,AU,44
108,,,,https://www.kaggle.com,test1@test.com,-22.91536725,109.5992127,7095,7395.625447,2018-05-20,false,AU,29
109,,,abcdef,,foo@bar.com,5.786803954,-114.7226903,1727,8057.81658,2018-03-20,false,AU,0.8460313863
110,95,,,http://www.google.com,foo@bar.com,-27.06071173,-102.0175705,7722,6662.240631,2018-07-08,true,AU,11
111,27,123e4567-e89b-12d3-a456-426655440000,,,foo@bar.com,81.42962142,38.48248438,,3713.278306,2018-04-18,true,AU,4
112,,,,http://www.google.com,test1@test.com,18.88579574,-15.25981107,7577,7124.008507,2018-04-25,false,AU,
113,66,,,http://www.google.com,foo@bar.com,-13.84705002,-170.0683438,5386,2693.257885,2018-04-15,true,AU,0.7821949104
114,,,abcdef,https://www.kaggle.com,,3.655397362,166.3050144,8859,9103.723364,2018-06-23,true,AU,0.6345108951
115,72,,abcdef,http://www.google.com,foo@bar.com,-52.28548674,-64.06365376,5222,7022.225809,2018-06-11,false,AU,46
116,,123e4567-e89b-12d3-a456-426655440000,,http://www.google.com,test1@test.com,41.86638392,38.78307015,1840,2104.75777,2018-03-30,,AU,23
117,52,123e4567-e89b-12d3-a456-426655440000,abcdef,https://www.kaggle.com,foo@bar.com,-27.31387569,-86.32047594,,8651.021624,2018-05-05,false,AU,2
118,29,123e4567-e89b-12d3-a456-426655440000,abcdef,https://www.kaggle.com,foo@bar.com,-40.63507961,138.6294896,6850,3222.0162,2018-04-29,true,AU,0.4267117732
119,83,,,http://www.google.com,foo@bar.com,-61.38574791,90.79987286,8822,2354.36202,2018-04-16,true,AU,31
